Article,Token Count,Average Sentence Length,Percentage of Complex Words,Fog Index
bctech2011.txt,2426,115.52380402267599,0.8742786476198358,46.55923306811833
bctech2012.txt,496,247.999876000062,0.9274193529689126,99.57091814121236
bctech2013.txt,655,218.3332605555798,0.9221374031723093,87.70215918350085
bctech2014.txt,502,167.33327755557414,0.9382470100831732,67.30860982626292
bctech2015.txt,636,317.99984100007947,0.8647798728541197,127.54584834917344
bctech2016.txt,464,231.999884000058,0.9181034462971909,93.16719497854207
bctech2017.txt,396,131.99995600001466,0.9444444420594837,53.17776017682966
bctech2018.txt,455,227.49988625005685,0.8835164815746891,91.35336109265262
bctech2019.txt,570,81.42855979592002,0.8807017528408742,32.92370461950436
bctech2020.txt,780,194.99995125001217,0.8948717937245233,78.35792921749469
bctech2021.txt,498,248.99987550006225,0.9297188736351026,99.97183774947894
bctech2022.txt,742,74.19999258000075,0.846361184843179,30.018541505937574
bctech2023.txt,676,56.333328638889284,0.8594674543499002,22.877118437295675
bctech2024.txt,836,64.30768736094713,0.8779904295717817,26.074271116207566
bctech2025.txt,887,40.31817998553727,0.850056368827445,16.467294541745886
bctech2026.txt,873,87.29999127000087,0.8533791513706998,35.26134816854863
bctech2027.txt,841,44.26315556509707,0.8620689644921891,18.050089811835704
bctech2028.txt,1015,42.29166490451396,0.8788177331243175,17.26819305505531
bctech2029.txt,1088,49.45454320661167,0.8382352933472101,20.117111399983553
bctech2030.txt,857,42.84999785750011,0.8774795789060915,17.49099097456248
bctech2031.txt,985,46.904759671201916,0.8690355321126543,19.109518081325827
bctech2032.txt,547,45.583329534722544,0.8592321739319339,18.577024683461794
bctech2033.txt,629,52.41666229861148,0.8934817155906492,21.32405760568085
bctech2034.txt,981,61.31249616796899,0.8593272162494116,24.86872935368736
bctech2035.txt,768,63.999994666667114,0.8828124988505046,25.95312286620705
bctech2036.txt,948,27.085713511836758,0.8628691974020367,11.17943308369552
bctech2037.txt,1061,81.6153783372786,0.8303487268328474,32.978290825644585
bctech2038.txt,527,65.87499176562604,0.8709677402827937,26.698383802363534
bctech2039.txt,365,30.416664131944657,0.8602739702458247,12.510775240876193
bctech2040.txt,464,115.99997100000725,0.8642241360684825,46.7456780544303
bctech2041.txt,294,73.4999816250046,0.8809523779559443,29.752373601184217
bctech2042.txt,374,124.66662511112496,0.8823529388172381,50.21959121997688
bctech2043.txt,404,80.79998384000324,0.9133663343728556,32.68534006975044
bctech2044.txt,473,33.785711872449156,0.8604651144599046,13.858470794763626
bctech2045.txt,484,43.999996000000365,0.85950413045557,17.943800052182375
bctech2046.txt,351,58.49999025000162,0.894586892038214,23.757830856815936
bctech2047.txt,512,102.3999795200041,0.890624998260498,41.316241807305836
bctech2048.txt,370,184.99990750004625,0.8945945921767714,74.35780083688921
bctech2049.txt,571,81.57141691836901,0.8563922927208542,32.971123684435945
bctech2050.txt,460,114.99997125000718,0.8630434763846881,46.34520589055675
bctech2051.txt,711,142.19997156000568,0.8607594924602538,57.22429242098638
bctech2052.txt,477,39.74999668750028,0.8427672938306765,16.237105592532384
